1320,1560
17640,18720
18840,22560
40680,42000
42120,43080
43200,46080
67560,68760
68880,69840
69960,72960
94560,95880
96240,96600
97080,99960
117000,118200
118320,122040
122400,122760
140640,141720
142080,142920
143160,144600
144720,145800
163560,164760
165840,167400
167760,168600
168720,168960
185880,187080
187200,188280
188760,191520
208920,210360
210720,211680
211920,212160
212280,214560
233520,234480
234960,238800
256800,258000
258120,262440
280800,282240
282360,286800
304080,305400
305640,309360
326640,327840
328080,328920
329040,331800
349920,350880
351240,352320
352440,354840
371040,375960
380040,380160
392040,396840
411600,412800
413040,416760
432600,437640
452400,453600
453840,454680
455160,457680
463080,463200
472560,473760
474120,480000
492600,492720
494640,495360
495480,499320
